"Number","Position","Team","Age","Foot","Experience","Experience_VFF","Video","Decision","RT","Trial_Number","participant","highest_prio","highest_prio_named","answer","accuracy"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_70\Klip_70_1","highest free man",1.12746259989217,61,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_71\Klip_71_3","switch play2",9.26798670005519,62,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_57\Klip_57_2","switch play2",4.21811450005043,63,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_81\Klip_81_4","pass it over",3.41824909998104,64,5,4,"Pass it over the opponent",4,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Warmup/Klip_2\Klip_2_2","pass it over",12.5974291000748,1,6,2,"Link out",4,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Warmup/Klip_1\Klip_1_1","highest free man",14.3267868999392,2,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Warmup/Klip_3\Klip_3_1","highest free man",10.345915599959,3,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_16\Klip_16_1","switch play",6.77146560000256,4,6,1,"Highest free man",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_93\Klip_93_3","false highest free man2",19.0930373000447,5,6,3,"Switch play to open lines",5,"Bad"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_69\Klip_69_2","link out",11.2081304000458,6,6,2,"Link out",2,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_14\Klip_14_1","switch play2",23.2633519000374,7,6,1,"Highest free man",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_58\Klip_58_3","switch play2",7.70704899996053,8,6,3,"Switch play to open lines",3,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_74\Klip_74_1","pass it over",17.4429231999675,9,6,1,"Highest free man",4,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_7\Klip_7_1","link out",4.96896540001035,10,6,1,"Highest free man",2,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_86\Klip_86_3","switch play",9.6096036999952,11,6,3,"Switch play to open lines",3,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_64\Klip_64_2","link out",34.6452753000194,12,6,2,"Link out",2,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_88\Klip_88_4","false switch play",12.8113665999845,13,6,4,"Pass it over the opponent",7,"Bad"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_23\Klip_23_2","switch play",17.2632371999789,14,6,2,"Link out",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_78\Klip_78_1","pass it over",56.0404353999766,15,6,1,"Highest free man",4,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_72\Klip_72_1","highest free man2",15.3829426999437,16,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_10\Klip_10_1","link out",7.59041930001695,17,6,1,"Highest free man",2,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_87\Klip_87_3","switch play",14.9403050000547,18,6,3,"Switch play to open lines",3,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_24\Klip_24_2","switch play2",20.8917708999943,19,6,2,"Link out",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_80\Klip_80_3","switch play2",16.3808241999941,20,6,3,"Switch play to open lines",3,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_70\Klip_70_1","highest free man",4.68867960001808,21,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_8\Klip_8_2","link out",15.1491821000818,22,6,2,"Link out",2,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_21\Klip_21_2","false highest free man",17.3879519000184,23,6,2,"Link out",5,"Bad"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_12\Klip_12_2","switch play",12.149629099993,24,6,2,"Link out",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_22\Klip_22_1","highest free man",11.1589891000185,25,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_18\Klip_18_3","switch play",24.1793280000566,26,6,3,"Switch play to open lines",3,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_6\Klip_6_1","link out",21.0584560999414,27,6,1,"Highest free man",2,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_30\Klip_30_1","switch play",6.20162469998468,28,6,1,"Highest free man",3,"Good"
